"","language","language_code","long","lat","spoken","source_author","notes","data_entry","total_data","retentions","loans","classification","world_atlas_link","ethno_link"
"1037","Kwamera (Isiai)","tnk",-19.58,169.42,"Vanuatu","Tryon (1976)","Tryon, DT. 1976. New Hebrides Languages: An internal classification. Canberra: Pacific Linguistics.","Typed By: Kirsty Maurits  Checked By:","Total Data: 185","Number of Retentions: Proto Malayo-Polynesian:49","Proto-Oceanic:59Number of Loans: 1","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Central-Eastern Oceanic:South Vanuatu:Tanna","http://wals.info/languoid/lect/wals_code_kwr","http://www.ethnologue.com/show_language.asp?code=tnk"
"1038","Neve'ei","vnm",NA,NA,NA,"Tryon (1976)","Tryon, DT. 1976. New Hebrides Languages: An internal classification. Canberra: Pacific Linguistics.","Typed By: Kirsty Maurits  Checked By:","Total Data: 180","Number of Retentions: Proto Malayo-Polynesian:68","Proto-Oceanic:85Number of Loans: 0","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Central-Eastern Oceanic:Remote Oceanic:North and Central Vanuatu:Malekula Interior:Malekula Central",NA,"http://www.ethnologue.com/show_language.asp?code=vnm"
"1039","Emae (Makatea)","mmw",NA,NA,NA,"Tryon (1976)","Tryon, DT. 1976. New Hebrides Languages: An internal classification. Canberra: Pacific Linguistics.","Typed By: Kirsty Maurits  Checked By:","Total Data: 192","Number of Retentions: Proto Malayo-Polynesian:78","Proto-Oceanic:106Number of Loans: 2","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Central-Eastern Oceanic:Remote Oceanic:Central Pacific:East Fijian-Polynesian:Polynesian:Nuclear:Samoic-Outlier:Futunic",NA,"http://www.ethnologue.com/show_language.asp?code=mmw"
"1040","Bieria (Vowa)","brj",NA,NA,NA,"Tryon (1976)","Tryon, DT. 1976. New Hebrides Languages: An internal classification. Canberra: Pacific Linguistics.","Typed By: Kirsty Maurits  Checked By:","Total Data: 189","Number of Retentions: Proto Malayo-Polynesian:61","Proto-Oceanic:79Number of Loans: 1","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Central-Eastern Oceanic:Remote Oceanic:North and Central Vanuatu:Northeast Vanuatu-Banks Islands:Epi:Bieria-Maii",NA,"http://www.ethnologue.com/show_language.asp?code=brj"
"1041","Koro","krf",NA,NA,NA,"Tryon (1976)","Tryon, DT. 1976. New Hebrides Languages: An internal classification. Canberra: Pacific Linguistics.","Typed By: Kirsty Maurits  Checked By:","Total Data: 177","Number of Retentions: Proto Malayo-Polynesian:62","Proto-Oceanic:78Number of Loans: 1","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Central-Eastern Oceanic:Remote Oceanic:North and Central Vanuatu:Northeast Vanuatu-Banks Islands:East Vanuatu",NA,"http://www.ethnologue.com/show_language.asp?code=krf"
"1042","Baki","bki",NA,NA,NA,"Tryon (1976)","Tryon, DT. 1976. New Hebrides Languages: An internal classification. Canberra: Pacific Linguistics.","Typed By: Kirsty Maurits  Checked By:","Total Data: 181","Number of Retentions: Proto Malayo-Polynesian:56","Proto-Oceanic:74Number of Loans: 3","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Central-Eastern Oceanic:Remote Oceanic:North and Central Vanuatu:Northeast Vanuatu-Banks Islands:Epi:Lamenu-Baki:Baki-Bierebo",NA,"http://www.ethnologue.com/show_language.asp?code=bki"
"1043","Larevat","lrv",NA,NA,NA,"Tryon (1976)","Tryon, DT. 1976. New Hebrides Languages: An internal classification. Canberra: Pacific Linguistics.","Typed By: Kirsty Maurits  Checked By:","Total Data: 171","Number of Retentions: Proto Malayo-Polynesian:65","Proto-Oceanic:86Number of Loans: 0","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Central-Eastern Oceanic:Remote Oceanic:North and Central Vanuatu:Malekula Interior:Malekula Central",NA,"http://www.ethnologue.com/show_language.asp?code=lrv"
"1044","Axamb (Maxbaxo)","ahb",NA,NA,NA,"Tryon (1976)","Tryon, DT. 1976. New Hebrides Languages: An internal classification. Canberra: Pacific Linguistics.","Typed By: Kirsty Maurits  Checked By:","Total Data: 172","Number of Retentions: Proto Malayo-Polynesian:57","Proto-Oceanic:79Number of Loans: 0","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Central-Eastern Oceanic:Remote Oceanic:North and Central Vanuatu:Northeast Vanuatu-Banks Islands:Malekula Coastal",NA,"http://www.ethnologue.com/show_language.asp?code=ahb"
"1045","Piamatsina","ptr",NA,NA,NA,"Tryon (1976)","Tryon, DT. 1976. New Hebrides Languages: An internal classification. Canberra: Pacific Linguistics.","Typed By: Kirsty Maurits  Checked By:","Total Data: 116","Number of Retentions: Proto Malayo-Polynesian:39","Proto-Oceanic:54Number of Loans: 0","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Central-Eastern Oceanic:Remote Oceanic:North and Central Vanuatu:Northeast Vanuatu-Banks Islands:West Santo",NA,"http://www.ethnologue.com/show_language.asp?code=ptr"
"1046","Seke","ske",NA,NA,NA,"Tryon (1976)","Tryon, DT. 1976. New Hebrides Languages: An internal classification. Canberra: Pacific Linguistics.","Typed By: Kirsty Maurits  Checked By:","Total Data: 165","Number of Retentions: Proto Malayo-Polynesian:55","Proto-Oceanic:71Number of Loans: 0","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Central-Eastern Oceanic:Remote Oceanic:North and Central Vanuatu:Northeast Vanuatu-Banks Islands:East Vanuatu",NA,"http://www.ethnologue.com/show_language.asp?code=ske"
"1047","Daakaka (Baiap)","bpa",NA,NA,NA,"Tryon (1976)","Tryon, DT. 1976. New Hebrides Languages: An internal classification. Canberra: Pacific Linguistics.","Typed By: Kirsty Maurits  Checked By:","Total Data: 172","Number of Retentions: Proto Malayo-Polynesian:54","Proto-Oceanic:75Number of Loans: 3","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Central-Eastern Oceanic:Remote Oceanic:North and Central Vanuatu:Northeast Vanuatu-Banks Islands:East Vanuatu",NA,"http://www.ethnologue.com/show_language.asp?code=bpa"
"1048","Ikiti","nwi",-19.57,169.33,"Vanuatu","Tryon (1976)","Tryon, DT. 1976. New Hebrides Languages: An internal classification. Canberra: Pacific Linguistics.","Typed By: Kirsty Maurits  Checked By:","Total Data: 166","Number of Retentions: Proto Malayo-Polynesian:47","Proto-Oceanic:53Number of Loans: 1","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Central-Eastern Oceanic:South Vanuatu:Tanna","http://wals.info/languoid/lect/wals_code_tns","http://www.ethnologue.com/show_language.asp?code=nwi"
"1049","Namakura (Makura)","nmk",NA,NA,NA,"Tryon (1976)","Tryon, DT. 1976. New Hebrides Languages: An internal classification. Canberra: Pacific Linguistics.","Typed By: Kirsty Maurits  Checked By:","Total Data: 170","Number of Retentions: Proto Malayo-Polynesian:67","Proto-Oceanic:89Number of Loans: 0","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Central-Eastern Oceanic:Remote Oceanic:North and Central Vanuatu:Northeast Vanuatu-Banks Islands:Central Vanuatu",NA,"http://www.ethnologue.com/show_language.asp?code=nmk"
"1050","Bierebo (Bonkovia)","bnk",NA,NA,NA,"Tryon (1976)","Tryon, DT. 1976. New Hebrides Languages: An internal classification. Canberra: Pacific Linguistics.","Typed By: Kirsty Maurits  Checked By:","Total Data: 166","Number of Retentions: Proto Malayo-Polynesian:57","Proto-Oceanic:74Number of Loans: 3","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Central-Eastern Oceanic:Remote Oceanic:North and Central Vanuatu:Northeast Vanuatu-Banks Islands:Epi:Lamenu-Baki:Baki-Bierebo",NA,"http://www.ethnologue.com/show_language.asp?code=bnk"
"1051","Amblong","alm",NA,NA,NA,"Tryon (1976)","Tryon, DT. 1976. New Hebrides Languages: An internal classification. Canberra: Pacific Linguistics.","Typed By: Kirsty Maurits  Checked By:","Total Data: 113","Number of Retentions: Proto Malayo-Polynesian:37","Proto-Oceanic:45Number of Loans: 0","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Central-Eastern Oceanic:Remote Oceanic:North and Central Vanuatu:Northeast Vanuatu-Banks Islands:West Santo",NA,"http://www.ethnologue.com/show_language.asp?code=alm"
"1052","Ikiyau","nwi",-19.57,169.33,"Vanuatu","Tryon (1976)","Tryon, DT. 1976. New Hebrides Languages: An internal classification. Canberra: Pacific Linguistics.","Typed By: Kirsty Maurits  Checked By:","Total Data: 161","Number of Retentions: Proto Malayo-Polynesian:44","Proto-Oceanic:50Number of Loans: 1","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Central-Eastern Oceanic:South Vanuatu:Tanna","http://wals.info/languoid/lect/wals_code_tns","http://www.ethnologue.com/show_language.asp?code=nwi"
"1053","Lamenu (Nuvi)","lmu",NA,NA,NA,"Tryon (1976)","Tryon, DT. 1976. New Hebrides Languages: An internal classification. Canberra: Pacific Linguistics.","Typed By: Kirsty Maurits  Checked By:","Total Data: 170","Number of Retentions: Proto Malayo-Polynesian:62","Proto-Oceanic:78Number of Loans: 3","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Central-Eastern Oceanic:Remote Oceanic:North and Central Vanuatu:Northeast Vanuatu-Banks Islands:Epi:Lamenu-Baki:Lamenu-Lewo",NA,"http://www.ethnologue.com/show_language.asp?code=lmu"
"1054","Mae (Orap)","mme",-16,167.25,"Vanuatu","Tryon (1976)","Tryon, DT. 1976. New Hebrides Languages: An internal classification. Canberra: Pacific Linguistics.","Typed By: Kirsty Maurits  Checked By:","Total Data: 157","Number of Retentions: Proto Malayo-Polynesian:55","Proto-Oceanic:79Number of Loans: 0","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Central-Eastern Oceanic:Remote Oceanic:North and Central Vanuatu:Northeast Vanuatu-Banks Islands:Malekula Coastal","http://wals.info/languoid/lect/wals_code_mae","http://www.ethnologue.com/show_language.asp?code=mme"
"1055","Lenakel","tnl",-19.45,169.25,"Vanuatu","Tryon (1976)","Tryon, DT. 1976. New Hebrides Languages: An internal classification. Canberra: Pacific Linguistics.","Typed By: Kirsty Maurits  Checked By:","Total Data: 199","Number of Retentions: Proto Malayo-Polynesian:57","Proto-Oceanic:68Number of Loans: 1","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Central-Eastern Oceanic:South Vanuatu:Tanna","http://wals.info/languoid/lect/wals_code_len","http://www.ethnologue.com/show_language.asp?code=tnl"
"1056","Labo (Ninde)","mwi",NA,NA,NA,"Tryon (1976)","Tryon, DT. 1976. New Hebrides Languages: An internal classification. Canberra: Pacific Linguistics.","Typed By: Kirsty Maurits  Checked By:","Total Data: 183","Number of Retentions: Proto Malayo-Polynesian:46","Proto-Oceanic:60Number of Loans: 0","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Central-Eastern Oceanic:Remote Oceanic:North and Central Vanuatu:Malekula Interior:Labo",NA,"http://www.ethnologue.com/show_language.asp?code=mwi"
"1057","Malo (North)","mla",-15.67,167.17,"Vanuatu","Tryon (1976)","Tryon, DT. 1976. New Hebrides Languages: An internal classification. Canberra: Pacific Linguistics.","Typed By: Kirsty Maurits  Checked By:","Total Data: 183","Number of Retentions: Proto Malayo-Polynesian:60","Proto-Oceanic:82Number of Loans: 0","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Central-Eastern Oceanic:Remote Oceanic:North and Central Vanuatu:Northeast Vanuatu-Banks Islands:West Santo","http://wals.info/languoid/lect/wals_code_tmm","http://www.ethnologue.com/show_language.asp?code=mla"
"1058","Lorediakarkar","lnn",NA,NA,NA,"Tryon (1976)","Tryon, DT. 1976. New Hebrides Languages: An internal classification. Canberra: Pacific Linguistics.","Typed By: Kirsty Maurits  Checked By:","Total Data: 155","Number of Retentions: Proto Malayo-Polynesian:44","Proto-Oceanic:57Number of Loans: 0","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Central-Eastern Oceanic:Remote Oceanic:North and Central Vanuatu:East Santo:South",NA,"http://www.ethnologue.com/show_language.asp?code=lnn"
"1059","Ambae, East (Lolsiwoi)","omb",-15.42,167.88,"Vanuatu","Tryon (1976)","Tryon, DT. 1976. New Hebrides Languages: An internal classification. Canberra: Pacific Linguistics.","Typed By: Kirsty Maurits  Checked By:","Total Data: 115","Number of Retentions: Proto Malayo-Polynesian:53","Proto-Oceanic:74Number of Loans: 0","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Central-Eastern Oceanic:Remote Oceanic:North and Central Vanuatu:Northeast Vanuatu-Banks Islands:East Vanuatu","http://wals.info/languoid/lect/wals_code_aml","http://www.ethnologue.com/show_language.asp?code=omb"
"1060","Labo (Windua)","mwi",NA,NA,NA,"Tryon (1976)","Tryon, DT. 1976. New Hebrides Languages: An internal classification. Canberra: Pacific Linguistics.","Typed By: Kirsty Maurits  Checked By:","Total Data: 126","Number of Retentions: Proto Malayo-Polynesian:38","Proto-Oceanic:50Number of Loans: 0","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Central-Eastern Oceanic:Remote Oceanic:North and Central Vanuatu:Malekula Interior:Labo",NA,"http://www.ethnologue.com/show_language.asp?code=mwi"
"1061","Maragus","mrs",NA,NA,NA,"Tryon (1976)","Tryon, DT. 1976. New Hebrides Languages: An internal classification. Canberra: Pacific Linguistics.","Typed By: Kirsty Maurits  Checked By:","Total Data: 163","Number of Retentions: Proto Malayo-Polynesian:54","Proto-Oceanic:71Number of Loans: 0","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Central-Eastern Oceanic:Remote Oceanic:North and Central Vanuatu:Malekula Interior:Malekula Central",NA,"http://www.ethnologue.com/show_language.asp?code=mrs"
"1062","Litzlitz","lzl",NA,NA,NA,"Tryon (1976)","Tryon, DT. 1976. New Hebrides Languages: An internal classification. Canberra: Pacific Linguistics.","Typed By: Kirsty Maurits  Checked By:","Total Data: 173","Number of Retentions: Proto Malayo-Polynesian:65","Proto-Oceanic:92Number of Loans: 0","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Central-Eastern Oceanic:Remote Oceanic:North and Central Vanuatu:Malekula Interior:Malekula Central",NA,"http://www.ethnologue.com/show_language.asp?code=lzl"
"1063","Uripiv-Wala-Rano-Atchin (Tautu)","upv",-16,167.33,"Vanuatu","Tryon (1976)","Tryon, DT. 1976. New Hebrides Languages: An internal classification. Canberra: Pacific Linguistics.","Typed By: Kirsty Maurits  Checked By:","Total Data: 168","Number of Retentions: Proto Malayo-Polynesian:66","Proto-Oceanic:95Number of Loans: 0","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Central-Eastern Oceanic:Remote Oceanic:North and Central Vanuatu:Northeast Vanuatu-Banks Islands:Malekula Coastal","http://wals.info/languoid/lect/wals_code_atc","http://www.ethnologue.com/show_language.asp?code=upv"
"1064","Mele","mxe",NA,NA,NA,"Tryon (1976)","Tryon, DT. 1976. New Hebrides Languages: An internal classification. Canberra: Pacific Linguistics.","Typed By: Kirsty Maurits  Checked By:","Total Data: 184","Number of Retentions: Proto Malayo-Polynesian:68","Proto-Oceanic:95Number of Loans: 0","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Central-Eastern Oceanic:Remote Oceanic:Central Pacific:East Fijian-Polynesian:Polynesian:Nuclear:Samoic-Outlier:Futunic",NA,"http://www.ethnologue.com/show_language.asp?code=mxe"
"1065","Narango (Nambel)","nrg",NA,NA,NA,"Tryon (1976)","Tryon, DT. 1976. New Hebrides Languages: An internal classification. Canberra: Pacific Linguistics.","Typed By: Kirsty Maurits  Checked By:","Total Data: 165","Number of Retentions: Proto Malayo-Polynesian:50","Proto-Oceanic:62Number of Loans: 0","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Central-Eastern Oceanic:Remote Oceanic:North and Central Vanuatu:Northeast Vanuatu-Banks Islands:West Santo",NA,"http://www.ethnologue.com/show_language.asp?code=nrg"
"1066","Dixon Reef","dix",NA,NA,NA,"Tryon (1976)","Tryon, DT. 1976. New Hebrides Languages: An internal classification. Canberra: Pacific Linguistics.","Typed By: Kirsty Maurits  Checked By:","Total Data: 181","Number of Retentions: Proto Malayo-Polynesian:51","Proto-Oceanic:74Number of Loans: 0","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Central-Eastern Oceanic:Remote Oceanic:North and Central Vanuatu:Malekula Interior:Small Nambas",NA,"http://www.ethnologue.com/show_language.asp?code=dix"
"1067","Hiw","hiw",NA,NA,NA,"Tryon (1976)","Tryon, DT. 1976. New Hebrides Languages: An internal classification. Canberra: Pacific Linguistics.","Typed By: Kirsty Maurits  Checked By:","Total Data: 169","Number of Retentions: Proto Malayo-Polynesian:60","Proto-Oceanic:81Number of Loans: 1","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Central-Eastern Oceanic:Remote Oceanic:North and Central Vanuatu:Northeast Vanuatu-Banks Islands:East Vanuatu",NA,"http://www.ethnologue.com/show_language.asp?code=hiw"
"1068","Paama (Faulili)","pma",-16.5,168.25,"Vanuatu","Tryon (1976)","Tryon, DT. 1976. New Hebrides Languages: An internal classification. Canberra: Pacific Linguistics.","Typed By: Kirsty Maurits  Checked By:","Total Data: 163","Number of Retentions: Proto Malayo-Polynesian:60","Proto-Oceanic:79Number of Loans: 1","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Central-Eastern Oceanic:Remote Oceanic:North and Central Vanuatu:Northeast Vanuatu-Banks Islands:East Vanuatu","http://wals.info/languoid/lect/wals_code_pms","http://www.ethnologue.com/show_language.asp?code=pma"
"1069","Lamenu (Nikaura)","lmu",NA,NA,NA,"Tryon (1976)","Tryon, DT. 1976. New Hebrides Languages: An internal classification. Canberra: Pacific Linguistics.","Typed By: Kirsty Maurits  Checked By:","Total Data: 179","Number of Retentions: Proto Malayo-Polynesian:61","Proto-Oceanic:80Number of Loans: 2","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Central-Eastern Oceanic:Remote Oceanic:North and Central Vanuatu:Northeast Vanuatu-Banks Islands:Epi:Lamenu-Baki:Lamenu-Lewo",NA,"http://www.ethnologue.com/show_language.asp?code=lmu"
